Code;Definition;Description;Funktionsklasse
31001_1000;Wohngebäude;'Wohngebäude' ist ein Gebäude, das zum Wohnen genutzt wird.;Residential
31001_1010;Wohnhaus;'Wohnhaus' ist ein Gebäude, in dem Menschen ihren Wohnsitz haben.;Residential
31001_1020;Wohnheim;'Wohnheim' ist ein Gebäude, das nach seiner baulichen Anlage und Ausstattung zur Unterbringung von Studenten, Arbeitern u.a. bestimmt ist.;Residential
31001_1021;Kinderheim;          ;Residential
31001_1022;Seniorenheim;          ;Residential
31001_1023;Schwesternwohnheim;          ;Residential
31001_1024;Studenten-, Schülerwohnheim;          ;Residential
31001_1025;Schullandheim;'Schullandheim' ist ein Gebäude in ländlicher Region, in dem sich Schulklassen jeweils für einige Tage zur Erholung und zum Unterricht aufhalten.;Residential
31001_1100;Gemischt genutztes Gebäude mit Wohnen;'Gemischt genutztes Gebäude mit Wohnen' ist ein Gebäude, in dem sowohl gewohnt wird, als auch Teile des Gebäude zum Anbieten von Dienstleistungen, zur Durchführung von öffentlichen oder privaten Verwaltungsarbeiten, zur gewerblichen oder industriellen Tätigkeit genutzt werden.;Other
31001_1110;Wohngebäude mit Gemeinbedarf;          ;Other
31001_1120;Wohngebäude mit Handel und Dienstleistungen;          ;Other
31001_1121;Wohn- und Verwaltungsgebäude;          ;Other
31001_1122;Wohn- und Bürogebäude;          ;Other
31001_1123;Wohn- und Geschäftsgebäude;'Wohn- und Geschäftsgebäude' ist ein Gebäude, in dem gewohnt wird und in dem sich ein oder mehrere Geschäfte befinden, in denen Waren zum Verkauf angeboten werden. ;Other
31001_1130;Wohngebäude mit Gewerbe und Industrie;          ;Other
31001_1131;Wohn- und Betriebsgebäude;          ;Other
31001_1210;Land- und forstwirtschaftliches Wohngebäude;          ;Residential
31001_1220;Land- und forstwirtschaftliches Wohn- und Betriebsgebäude;          ;Other
31001_1221;Bauernhaus;'Bauernhaus' ist das Wohn- und Betriebsgebäude eines Landwirts.;Residential
31001_1222;Wohn- und Wirtschaftsgebäude;          ;Other
31001_1223;Forsthaus;'Forsthaus' ist ein Gebäude, das gleichzeitig Wohnhaus und Dienststelle der Försterin oder des Försters ist.;Residential
31001_1310;Gebäude zur Freizeitgestaltung;          ;Other
31001_1311;Ferienhaus;          ;Residential
31001_1312;Wochenendhaus;'Wochenendhaus' ist ein Gebäude, in dem dauerhaftes Wohnen möglich, aber nicht gestattet ist. Es dient nur zum zeitlich begrenzten Aufenthalt in der Freizeit, beispielsweise am Wochenende oder im Urlaub und steht i.d.R. in einem besonders dafür ausgewiesenen Gebiet (Wochenendhausgebiet).;Other
31001_1313;Gartenhaus;'Gartenhaus' ist ein eingeschossiges Gebäude in einfacher Ausführung, z.B.ohne Feuerstätte und ohne Toilette. Es dient hauptsächlich dem Unterbringen von Gartengeräten oder dem Überwintern von Pflanzen. Stellt es bei der Nutzung des Gartens eine Ruhe oder Erholungsstätte dar, ist es nur zum vorübergehenden Aufenthalt gedacht, nicht jedoch zum Wohnen oder Übernachten.;NoHeatingAndCooling
31001_2000;Gebäude für Wirtschaft oder Gewerbe;'Gebäude für Wirtschaft oder Gewerbe' ist ein Gebäude, das der Produktion von Waren, der Verteilung von Gütern und dem Angebot von Dienstleistungen dient.;Other
31001_2010;Gebäude für Handel und Dienstleistungen;'Gebäude für Handel und Dienstleistungen' ist ein Gebäude, in dem Arbeitsleistungen, die nicht der Produktion von materiellen Gütern dienen, angeboten werden. Dazu gehört u.a. der Handel (Ankauf, Transport, Verkauf) mit Gütern, Kapital oder Wissen. ;Office
31001_2020;Bürogebäude;'Bürogebäude' ist ein Gebäude, in dem private Wirtschaftunternehmen ihre Verwaltungsarbeit durchführen.;Office
31001_2030;Kreditinstitut;'Kreditinstitut' ist ein Gebäude, in dem Unternehmen gewerbsmäßig Geldgeschäfte (Verwaltung von Ersparnissen, Vergabe von Krediten) betreiben, die einen kaufmännisch eingerichteten Geschäftsbetrieb erfordern.;Office
31001_2040;Versicherung;'Versicherung' ist ein Gebäude, in dem Versicherungsunternehmen gewerbsmäßige Versicherungsgeschäfte betreiben.;Office
31001_2050;Geschäftsgebäude;'Geschäftsgebäude' ist ein Gebäude, in dem Ein- und Verkauf von Waren stattfindet.;Commercial
31001_2051;Kaufhaus;'Kaufhaus' ist ein Gebäude, meist mit mehreren Stockwerken, in dem breite Warensortimente zum Kauf angeboten werden.;Commercial
31001_2052;Einkaufszentrum;'Einkaufszentrum' ist ein Gebäude oder Gebäudekomplex, in dem mehrere Geschäfte untergebracht sind.;Commercial
31001_2053;Markthalle;          ;NoHeatingAndCooling
31001_2054;Laden;          ;Commercial
31001_2055;Kiosk;'Kiosk' ist ein kleines in meist leichter Bauweise errichtetes Gebäude, das als Verkaufseinrichtung für ein beschränktes Warenangebot dient.;Commercial
31001_2056;Apotheke;'Apotheke' ist ein Geschäft, in dem Arzneimittel hergestellt und verkauft werden.;Commercial
31001_2060;Messehalle;'Messehalle' ist ein Gebäude, das zur Ausstellung von Kunstgegenständen oder Wirtschaftsgütern dient.;Other
31001_2070;Gebäude für Beherbergung;          ;Other
31001_2071;Hotel, Motel, Pension;'Hotel, Motel, Pension' ist ein Gebäude mit Beherbergungs- und/oder Verpflegungsbetrieb nach Service, Ausstattung und Qualität in verschiedene Kategorien eingeteilt. Das Motel ist besonders eingerichtet für Reisende mit Kraftfahrzeug an verkehrsreichen Straßen.;Other
31001_2072;Jugendherberge;'Jugendherberge' ist eine zur Förderung von Jugendreisen dienende Aufenthalts- und Übernachtungsstätte.;Other
31001_2073;Hütte (mit Übernachtungsmöglichkeit);'Hütte (mit Übernachtungsmöglichkeit)' ist ein Gebäude außerhalb von Ortschaften, meist in den Bergen, in dem Menschen übernachten und Schutz suchen können.;Other
31001_2074;Campingplatzgebäude;          ;Other
31001_2080;Gebäude für Bewirtung;          ;Other
31001_2081;Gaststätte, Restaurant;'Gaststätte, Restaurant' ist ein Gebäude, in dem gegen Entgelt Mahlzeiten und Getränke zum Verzehr angeboten werden.;Other
31001_2082;Hütte (ohne Übernachtungsmöglichkeit);          ;Other
31001_2083;Kantine;          ;Other
31001_2090;Freizeit- und Vergnügungsstätte;'Freizeit- und Vergnügungsstätte' ist ein Gebäude, in dem man in seiner Freizeit bestimmte Angebote wahrnehmen kann.;Other
31001_2091;Festsaal;          ;Other
31001_2092;Kino;          ;Other
31001_2093;Kegel-, Bowlinghalle;          ;Other
31001_2094;Spielkasino;          ;Other
31001_2100;Gebäude für Gewerbe und Industrie;'Gebäude für Gewerbe und Industrie' ist ein Gebäude, dass vorwiegend gewerblichen oder industriellen Zwecken dient.;Other
31001_2110;Produktionsgebäude;'Produktionsgebäude' ist ein Gebäude, das zur Herstellung von Wirtschaftsgütern dient.;Other
31001_2111;Fabrik;'Fabrik' ist ein Gebäude mit technischen Anlagen zur Herstellung von Waren in großen Mengen.;Other
31001_2112;Betriebsgebäude;'Betriebsgebäude' ist ein Gebäude, in dem Arbeitskräfte und Produktionsmittel zusammengefasst sind, um Leistungen zu erbringen oder Güter herzustellen.;Other
31001_2113;Brauerei;          ;Other
31001_2114;Brennerei;          ;Other
31001_2120;Werkstatt;          ;Other
31001_2121;Sägewerk;          ;Other
31001_2130;Tankstelle;'Tankstelle' ist ein Gebäude, in dem hauptsächlich Kfz-Kraftstoffe, Schmiermittel und Zubehör verkauft werden, meist mit Einrichtungen zur Durchführung von Wartungs- und Pflegearbeiten von Kraftfahrzeugen.;Other
31001_2131;Waschstraße, Waschanlage, Waschhalle;          ;NoHeatingAndCooling
31001_2140;Gebäude für Vorratshaltung;          ;Storage
31001_2141;Kühlhaus;          ;Storage
31001_2142;Speichergebäude;          ;Storage
31001_2143;Lagerhalle, Lagerschuppen, Lagerhaus;'Lagerhalle, Lagerschuppen, Lagerhaus' ist ein Gebäude zur Vorratshaltung von Gütern (z. B. Material, Fertigerzeugnissen).;Storage
31001_2150;Speditionsgebäude;'Speditionsgebäude' bezeichnet ein Gebäude mit technischen, organisatorischen und wirtschaftlichen Einrichtungen, die der Beförderung von Gütern über räumliche Entfernungen dienen. ;Office
31001_2160;Gebäude für Forschungszwecke;'Gebäude für Forschungszwecke' ist ein Gebäude, in dem Forschung betrieben wird.;Research
31001_2170;Gebäude für Grundstoffgewinnung;          ;Other
31001_2171;Bergwerk;          ;NoHeatingAndCooling
31001_2172;Saline;'Saline' ist eine Anlage zur Gewinnung von Kochsalz.;NoHeatingAndCooling
31001_2180;Gebäude für betriebliche Sozialeinrichtung;          ;Office
31001_2200;Sonstiges Gebäude für Gewerbe und Industrie;;Other
31001_2210;Mühle;          ;Other
31001_2211;Windmühle;'Windmühle' ist ein Gebäude, dessen wesentlicher Bestandteil die an einer Achse befestigten Flächen (Flügel, Schaufeln) sind, die von der Windkraft in Drehung versetzt werden. Sie dient zum Mahlen von Getreide, zum Pumpen von Wasser oder zur Erzeugung von Strom.;NoHeatingAndCooling
31001_2212;Wassermühle;'Wassermühle' ist ein Gebäude mit einem Mühlrad, das von Wasser angetrieben wird.;NoHeatingAndCooling
